epoch,acc,f1,loss,sa,val_acc,val_f1,val_loss,val_sa
0,0.5858703255653381,0.5078983902931213,25.48085594177246,0.12420957535505295,0.8014947175979614,0.7475066781044006,11.150416374206543,0.3015228509902954
1,0.8709312081336975,0.8354759812355042,6.579067230224609,0.46872177720069885,0.8787029385566711,0.8431882262229919,5.803383827209473,0.5142132043838501
2,0.9075485467910767,0.8859462141990662,3.9948158264160156,0.6036585569381714,0.8961516618728638,0.8718054890632629,4.412076473236084,0.5984771847724915
3,0.9205133318901062,0.9038676619529724,2.941368341445923,0.6578590869903564,0.9074827432632446,0.8861943483352661,3.533421039581299,0.6365482211112976
4,0.9287791848182678,0.9159937500953674,2.341923952102661,0.6947832107543945,0.9089895486831665,0.8874726295471191,3.142671585083008,0.6507614254951477
5,0.9353668689727783,0.9238079190254211,1.9373807907104492,0.7197380065917969,0.9052828550338745,0.8875903487205505,3.0314552783966064,0.6360406279563904
6,0.9414149522781372,0.9303092956542969,1.6279200315475464,0.7358852624893188,0.9047403931617737,0.8838978409767151,2.9003524780273438,0.6345177888870239
7,0.9455676078796387,0.9359637498855591,1.3862481117248535,0.7521454095840454,0.905795156955719,0.8872049450874329,2.746640920639038,0.6467005014419556
8,0.9509246349334717,0.9412598013877869,1.1886900663375854,0.7689701914787292,0.9109182357788086,0.8919291496276855,2.539635419845581,0.6649746298789978
9,0.9560118317604065,0.9482823014259338,1.014524221420288,0.7895212173461914,0.9061266183853149,0.8882286548614502,2.677293539047241,0.6446700692176819
10,0.9623428583145142,0.955727756023407,0.834652304649353,0.8108627200126648,0.8943735957145691,0.8776444792747498,2.8645081520080566,0.603553295135498
11,0.9674893021583557,0.9617339372634888,0.7063304781913757,0.8324300050735474,0.9047403931617737,0.8827340006828308,2.7170534133911133,0.6451776623725891
12,0.9732412099838257,0.9683048129081726,0.5871444344520569,0.8572719097137451,0.9095320105552673,0.8882878422737122,2.635183095932007,0.6548223495483398
13,0.9787101149559021,0.9743452668190002,0.4932950437068939,0.8790650367736816,0.9038965702056885,0.8824611902236938,2.828932523727417,0.6345177888870239
14,0.981500506401062,0.9781668782234192,0.4140465557575226,0.8940830826759338,0.9045897126197815,0.8848176002502441,2.8993942737579346,0.6431472301483154
15,0.9849424362182617,0.9822863936424255,0.34360313415527344,0.9112465977668762,0.8963626027107239,0.8772091865539551,3.1294524669647217,0.6101523041725159
16,0.9881605505943298,0.9858863949775696,0.2918255031108856,0.9273938536643982,0.8991049528121948,0.8772287964820862,3.1689281463623047,0.6197969317436218
17,0.9896018505096436,0.9880996346473694,0.24416868388652802,0.9382339715957642,0.9018774628639221,0.8783618807792664,3.1501708030700684,0.624365508556366
18,0.9914577007293701,0.9902464747428894,0.2086603343486786,0.9487352967262268,0.8993158936500549,0.8750765323638916,3.321375846862793,0.6106598973274231
19,0.9929845333099365,0.9918580055236816,0.180951327085495,0.9567524790763855,0.9020583033561707,0.8802616000175476,3.3744795322418213,0.6279187798500061
20,0.9935965538024902,0.9923790097236633,0.1555776596069336,0.9611562490463257,0.9005514979362488,0.8785170912742615,3.484234094619751,0.6192893385887146
